date,open,high,low,close,volume,timestamp
2024-11-13,0.214136,0.227983,0.166951,0.176904,,1731456000.0
2024-11-17,0.177129,0.192425,0.143311,0.164868,,1731801600.0
2024-11-21,0.165089,0.191845,0.153797,0.178194,,1732147200.0
2024-11-25,0.179794,0.206738,0.171631,0.191618,,1732492800.0
2024-11-29,0.19151,0.193166,0.164425,0.178588,,1732838400.0
2024-12-03,0.178264,0.194143,0.176312,0.18461,,1733184000.0
2024-12-07,0.185068,0.228665,0.185068,0.206559,,1733529600.0
2024-12-11,0.206602,0.206829,0.154682,0.174385,,1733875200.0
2024-12-15,0.174877,0.198892,0.16588,0.175917,,1734220800.0
2024-12-19,0.175991,0.206588,0.170823,0.173731,,1734566400.0
2024-12-23,0.172643,0.185244,0.142037,0.153801,,1734912000.0
2024-12-27,0.153975,0.167426,0.14819,0.150484,,1735257600.0
2024-12-31,0.150764,0.160801,0.139186,0.141341,,1735603200.0
2025-01-04,0.141586,0.161009,0.138526,0.159445,,1735948800.0
2025-01-08,0.159871,0.165394,0.147523,0.149419,,1736294400.0
2025-01-12,0.148951,0.14985,0.135509,0.141492,,1736640000.0
2025-01-16,0.141587,0.144781,0.125847,0.144781,,1736985600.0
2025-01-20,0.144947,0.149479,0.121444,0.131418,,1737331200.0
2025-01-24,0.131089,0.148808,0.125933,0.139773,,1737676800.0
2025-01-28,0.139856,0.144935,0.123781,0.132357,,1738022400.0
2025-02-01,0.13268,0.133665,0.126011,0.129687,,1738368000.0
2025-02-05,0.129793,0.131311,0.085728,0.106985,,1738713600.0
2025-02-09,0.106402,0.107236,0.090937,0.094421,,1739059200.0
2025-02-13,0.094309,0.098612,0.089448,0.095071,,1739404800.0
2025-02-17,0.095022,0.0954,0.087369,0.087569,,1739750400.0
2025-02-21,0.087623,0.090692,0.082529,0.086102,,1740096000.0
2025-02-25,0.085993,0.092332,0.077499,0.077623,,1740441600.0
2025-03-01,0.077675,0.0799,0.068442,0.073752,,1740787200.0
2025-03-05,0.073669,0.1015,0.068845,0.073914,,1741132800.0
2025-03-09,0.073458,0.097862,0.07205,0.084637,,1741478400.0
2025-03-13,0.084574,0.09357,0.073122,0.084259,,1741824000.0
2025-03-17,0.084269,0.085248,0.078937,0.082882,,1742169600.0
2025-03-21,0.08296,0.089697,0.07721,0.07988,,1742515200.0
2025-03-25,0.079905,0.099256,0.077207,0.094154,,1742860800.0
2025-03-29,0.094334,0.114605,0.091555,0.104951,,1743206400.0
2025-04-02,0.104796,0.109093,0.097668,0.104325,,1743552000.0
2025-04-06,0.104305,0.108782,0.09055,0.091594,,1743897600.0
2025-04-10,0.091433,0.09182,0.073938,0.087773,,1744243200.0
2025-04-14,0.08777,0.090971,0.084186,0.085069,,1744588800.0
2025-04-18,0.085111,0.087875,0.080899,0.083486,,1744934400.0
2025-04-22,0.083535,0.084938,0.081311,0.082517,,1745280000.0
2025-04-26,0.082369,0.09441,0.081608,0.091452,,1745625600.0
2025-04-30,0.091524,0.093191,0.089109,0.089715,,1745971200.0
2025-05-04,0.089692,0.092165,0.085637,0.089792,,1746316800.0
2025-05-08,0.089747,0.09294,0.085571,0.091487,,1746662400.0
2025-05-12,0.091473,0.105094,0.091473,0.098464,,1747008000.0
2025-05-16,0.0985,0.103635,0.095612,0.10077,,1747353600.0
2025-05-20,0.100891,0.102089,0.093108,0.096096,,1747699200.0
2025-05-24,0.09609,0.101813,0.094834,0.094834,,1748044800.0
2025-05-28,0.094706,0.100284,0.093754,0.098212,,1748390400.0
2025-06-01,0.098131,0.108638,0.092013,0.106013,,1748736000.0
2025-06-05,0.105639,0.10801,0.100133,0.100192,,1749081600.0
2025-06-09,0.100155,0.10198,0.096022,0.097941,,1749427200.0
2025-06-13,0.097936,0.101916,0.095624,0.096754,,1749772800.0
2025-06-17,0.096555,0.096555,0.088465,0.090792,,1750118400.0
2025-06-21,0.090468,0.09322,0.085513,0.087967,,1750464000.0
2025-06-25,0.088055,0.088912,0.077526,0.084239,,1750809600.0
