date,open,high,low,close,volume,timestamp
2024-11-13,14.93,15.2,13.74,14.07,,1731456000.0
2024-11-17,13.99,14.77,12.77,14.52,,1731801600.0
2024-11-21,14.52,15.84,13.6,14.29,,1732147200.0
2024-11-25,14.28,18.23,13.91,18.0,,1732492800.0
2024-11-29,17.95,18.95,16.25,17.97,,1732838400.0
2024-12-03,17.96,26.26,17.56,24.99,,1733184000.0
2024-12-07,25.06,26.26,22.39,25.82,,1733529600.0
2024-12-11,25.84,27.26,20.45,22.23,,1733875200.0
2024-12-15,22.19,30.68,21.24,29.05,,1734220800.0
2024-12-19,29.09,30.7,24.83,24.92,,1734566400.0
2024-12-23,24.85,25.49,20.06,22.03,,1734912000.0
2024-12-27,22.04,25.93,21.64,22.65,,1735257600.0
2024-12-31,22.65,23.6,20.15,20.57,,1735603200.0
2025-01-04,20.58,23.85,19.74,23.36,,1735948800.0
2025-01-08,23.41,24.63,21.28,21.42,,1736294400.0
2025-01-12,21.4,21.67,19.22,20.19,,1736640000.0
2025-01-16,20.2,22.14,18.1,22.14,,1736985600.0
2025-01-20,22.13,26.57,21.34,24.41,,1737331200.0
2025-01-24,24.28,26.99,23.5,25.61,,1737676800.0
2025-01-28,25.63,26.36,22.23,24.11,,1738022400.0
2025-02-01,24.17,26.09,22.39,25.11,,1738368000.0
2025-02-05,25.15,25.87,16.6,20.09,,1738713600.0
2025-02-09,20.02,20.19,17.84,18.47,,1739059200.0
2025-02-13,18.45,19.74,17.55,19.17,,1739404800.0
2025-02-17,19.19,19.78,18.25,18.69,,1739750400.0
2025-02-21,18.7,19.7,17.34,18.3,,1740096000.0
2025-02-25,18.29,19.01,15.21,15.21,,1740441600.0
2025-03-01,15.28,15.77,13.48,14.83,,1740787200.0
2025-03-05,14.81,17.5,13.25,14.87,,1741132800.0
2025-03-09,14.86,17.59,14.67,15.24,,1741478400.0
2025-03-13,15.25,15.32,11.99,13.5,,1741824000.0
2025-03-17,13.47,14.61,12.73,13.37,,1742169600.0
2025-03-21,13.36,15.11,13.36,14.21,,1742515200.0
2025-03-25,14.23,15.35,13.85,15.06,,1742860800.0
2025-03-29,15.1,15.98,14.04,14.25,,1743206400.0
2025-04-02,14.26,14.38,13.01,14.06,,1743552000.0
2025-04-06,14.04,14.21,12.33,12.85,,1743897600.0
2025-04-10,12.85,12.93,10.21,12.65,,1744243200.0
2025-04-14,12.65,13.26,11.74,12.6,,1744588800.0
2025-04-18,12.61,13.18,12.03,12.53,,1744934400.0
2025-04-22,12.53,13.67,12.44,13.08,,1745280000.0
2025-04-26,13.09,15.31,12.98,14.94,,1745625600.0
2025-04-30,14.94,15.22,14.32,14.62,,1745971200.0
2025-05-04,14.61,14.99,13.97,14.26,,1746316800.0
2025-05-08,14.25,14.34,13.24,13.83,,1746662400.0
2025-05-12,13.83,17.39,13.83,17.03,,1747008000.0
2025-05-16,17.08,17.82,15.85,15.97,,1747353600.0
2025-05-20,15.98,16.46,14.96,15.79,,1747699200.0
2025-05-24,15.8,17.09,15.31,15.61,,1748044800.0
2025-05-28,15.53,16.06,14.93,15.9,,1748390400.0
2025-06-01,15.9,16.14,13.48,14.0,,1748736000.0
2025-06-05,13.99,14.43,13.65,13.85,,1749081600.0
2025-06-09,13.85,14.06,12.77,13.69,,1749427200.0
2025-06-13,13.7,15.62,13.58,14.03,,1749772800.0
2025-06-17,14.01,14.14,12.85,13.65,,1750118400.0
2025-06-21,13.53,13.74,12.36,12.51,,1750464000.0
2025-06-25,12.51,13.7,11.02,13.4,,1750809600.0
2025-06-29,13.41,13.5,12.76,13.4,,1751155200.0
2025-07-03,13.4,13.82,12.81,13.57,,1751500800.0
2025-07-07,13.57,14.0,12.98,13.49,,1751846400.0
2025-07-11,13.49,15.31,13.21,15.23,,1752192000.0
2025-07-15,15.24,16.38,14.74,15.77,,1752537600.0
2025-07-19,15.77,19.09,15.2,17.82,,1752883200.0
2025-07-23,17.84,20.24,17.64,19.65,,1753228800.0
2025-07-27,19.66,19.69,17.28,18.42,,1753574400.0
2025-07-31,18.39,19.52,17.01,17.72,,1753920000.0
2025-08-04,17.71,18.2,15.48,16.3,,1754265600.0
2025-08-08,16.29,18.48,16.07,18.48,,1754611200.0
2025-08-12,18.47,22.58,18.28,21.17,,1754956800.0
2025-08-16,21.11,24.52,21.07,21.75,,1755302400.0
2025-08-20,21.75,26.51,21.48,23.52,,1755648000.0
2025-08-24,23.53,27.7,23.5,26.28,,1755993600.0
2025-08-28,26.29,26.53,22.94,23.77,,1756339200.0
2025-09-01,23.76,25.82,22.97,23.23,,1756684800.0
2025-09-05,23.17,23.92,22.2,22.36,,1757030400.0
2025-09-09,22.34,23.27,21.91,23.03,,1757376000.0
2025-09-13,23.1,25.29,22.88,25.13,,1757721600.0
2025-09-17,25.14,25.57,23.05,23.49,,1758067200.0
2025-09-21,23.49,24.83,22.86,23.34,,1758412800.0
2025-09-25,23.35,23.48,20.92,21.59,,1758758400.0
2025-09-29,21.61,21.68,19.93,21.68,,1759104000.0
2025-10-03,21.68,23.12,20.97,22.75,,1759449600.0
2025-10-07,22.78,23.56,21.58,23.38,,1759795200.0
2025-10-11,23.46,23.68,12.93,17.47,,1760140800.0
2025-10-15,17.35,20.17,16.7,19.11,,1760486400.0
2025-10-19,19.12,19.22,15.84,16.82,,1760832000.0
2025-10-23,16.83,19.14,16.57,17.19,,1761177600.0
2025-10-27,17.21,18.66,17.15,18.55,,1761523200.0
2025-10-31,18.54,19.01,16.38,16.79,,1761868800.0
2025-11-04,16.79,17.62,15.13,15.23,,1762214400.0
2025-11-08,15.23,16.16,13.93,15.78,,1762560000.0
2025-11-12,15.8,16.69,15.06,15.29,,1762905600.0
2025-11-16,15.3,16.22,13.71,14.12,,
2025-11-20,14.12,14.46,12.8,13.51,,
2025-11-24,13.51,13.94,11.69,12.51,,
2025-11-28,12.52,13.54,12.38,13.35,,
2025-12-02,13.34,13.49,11.77,12.09,,
