date,open,high,low,close,volume,timestamp
2024-11-13,0.808298,0.808298,0.717087,0.736859,,1731456000.0
2024-11-17,0.7359,0.787223,0.677013,0.750055,,1731801600.0
2024-11-21,0.753728,0.762108,0.702573,0.721314,,1732147200.0
2024-11-25,0.721773,0.893386,0.708427,0.854767,,1732492800.0
2024-11-29,0.854706,0.88929,0.771587,0.868749,,1732838400.0
2024-12-03,0.868726,0.958747,0.854423,0.90979,,1733184000.0
2024-12-07,0.909084,1.23,0.84738,1.15,,1733529600.0
2024-12-11,1.15,1.34,1.04,1.19,,1733875200.0
2024-12-15,1.18,1.36,1.14,1.23,,1734220800.0
2024-12-19,1.23,1.26,1.092,1.094,,1734566400.0
2024-12-23,1.096,1.32,1.003,1.16,,1734912000.0
2024-12-27,1.16,1.28,1.15,1.17,,1735257600.0
2024-12-31,1.17,1.23,1.17,1.21,,1735603200.0
2025-01-04,1.21,1.41,1.19,1.38,,1735948800.0
2025-01-08,1.38,1.42,1.26,1.27,,1736294400.0
2025-01-12,1.27,1.29,1.13,1.17,,1736640000.0
2025-01-16,1.17,1.17,1.019,1.15,,1736985600.0
2025-01-20,1.15,1.16,0.935577,0.953189,,1737331200.0
2025-01-24,0.951288,1.28,0.924422,1.23,,1737676800.0
2025-01-28,1.23,1.26,1.056,1.12,,1738022400.0
2025-02-01,1.12,1.25,1.05,1.23,,1738368000.0
2025-02-05,1.23,1.33,0.845572,1.15,,1738713600.0
2025-02-09,1.15,1.17,1.029,1.049,,1739059200.0
2025-02-13,1.048,1.073,0.986616,1.05,,1739404800.0
2025-02-17,1.051,1.062,1.013,1.022,,1739750400.0
2025-02-21,1.022,1.13,1.016,1.031,,1740096000.0
2025-02-25,1.031,1.058,0.807086,0.809568,,1740441600.0
2025-03-01,0.808355,0.840167,0.693103,0.715119,,1740787200.0
2025-03-05,0.715147,0.790218,0.706776,0.7256,,1741132800.0
2025-03-09,0.723809,0.751694,0.698247,0.708939,,1741478400.0
2025-03-13,0.709047,0.760682,0.660509,0.751786,,1741824000.0
2025-03-17,0.752597,0.827344,0.720116,0.814577,,1742169600.0
2025-03-21,0.814074,0.841009,0.784703,0.790998,,1742515200.0
2025-03-25,0.790863,0.850123,0.774032,0.843754,,1742860800.0
2025-03-29,0.842749,0.852714,0.812518,0.832307,,1743206400.0
2025-04-02,0.832237,0.835381,0.770451,0.801586,,1743552000.0
2025-04-06,0.800839,0.807689,0.727413,0.741588,,1743897600.0
2025-04-10,0.740154,0.742092,0.649305,0.712218,,1744243200.0
2025-04-14,0.713569,0.719632,0.675666,0.694947,,1744588800.0
2025-04-18,0.695145,0.708162,0.676558,0.680229,,1744934400.0
2025-04-22,0.679899,0.679899,0.653347,0.667089,,1745280000.0
2025-04-26,0.666448,0.76409,0.657206,0.74207,,1745625600.0
2025-04-30,0.741815,0.752263,0.721811,0.730571,,1745971200.0
2025-05-04,0.730452,0.753754,0.722261,0.729268,,1746316800.0
2025-05-08,0.729552,0.735239,0.703236,0.711854,,1746662400.0
2025-05-12,0.711663,0.813756,0.711004,0.804839,,1747008000.0
2025-05-16,0.80534,0.835059,0.74283,0.756686,,1747353600.0
2025-05-20,0.757647,0.758541,0.721658,0.726394,,1747699200.0
2025-05-24,0.726435,0.773881,0.723746,0.735037,,1748044800.0
2025-05-28,0.728837,0.740208,0.722041,0.730928,,1748390400.0
2025-06-01,0.73113,0.73113,0.66212,0.678979,,1748736000.0
2025-06-05,0.678982,0.686898,0.662113,0.663674,,1749081600.0
2025-06-09,0.663442,0.668299,0.628365,0.645592,,1749427200.0
2025-06-13,0.644934,0.683673,0.644934,0.655396,,1749772800.0
2025-06-17,0.654711,0.654711,0.613362,0.619457,,1750118400.0
