date,price,volume_24h,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap,exchanges
2025-11-13,3407.51,521678411,3583.34,3374.31,-4.743587683691,-0.13902,8300654457,
2025-12-05,2997.24,134043804,3187.34,3010.68,,,8401640904,[]
