date,price,volume_24h,high_24h,low_24h,market_cap,exchanges
2025-11-20,0.01500944,41385,0.01544223,0.01404538,38198252,
2025-11-27,0.01499371,34046,0.01598442,0.01457011,37904501,"['Tokpie', 'Raydium (CLMM)', 'Raydium', 'Orca']"
