date,price,volume_24h,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap,exchanges
2025-11-13,3404.92,31153626249,3583.32,3374.02,-13.056536229419,-0.382,411374347553,
2025-12-05,3011.16,28685947643,3187.97,3008.83,,,363287108983,[]
