date,price,volume_24h,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap,exchanges
2025-11-13,3403.74,72948740,3580.05,3377.28,-15.223041761924,-0.44525,29391268628,
2025-12-05,3011.16,57891472,3185.88,3009.65,,,26070455882,[]
